Product Name,Price (Ksh),Discount (%),Rating (out of 5),Total Reviews
N/A,KSh 795,0%,0,0
N/A,KSh 567,0%,0,0
N/A,KSh 428,0%,0,0
N/A,"KSh 24,409",0%,0,0
N/A,"KSh 6,799",0%,0,0
N/A,"KSh 11,795",0%,0,0
N/A,KSh 584,0%,0,0
N/A,KSh 418,0%,0,0
N/A,"KSh 8,999",0%,0,0
N/A,"KSh 1,740 - KSh 12,526",0%,0,0
N/A,KSh 623,0%,0,0
N/A,"KSh 10,799",0%,0,0
N/A,"KSh 18,299",0%,0,0
N/A,"KSh 9,999",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,"KSh 5,199",0%,0,0
N/A,"KSh 9,699",0%,0,0
N/A,"KSh 12,999",0%,0,0
N/A,"KSh 6,799",0%,0,0
N/A,KSh 574,0%,0,0
N/A,"KSh 20,200",0%,0,0
N/A,KSh 501,0%,0,0
N/A,KSh 299,0%,0,0
N/A,KSh 378,0%,0,0
N/A,KSh 591,0%,0,0
N/A,"KSh 24,409",0%,0,0
N/A,KSh 799,0%,0,0
N/A,"KSh 2,099",0%,0,0
N/A,"KSh 18,299",0%,0,0
N/A,"KSh 18,899",0%,0,0
N/A,"KSh 8,999",0%,0,0
N/A,"KSh 9,999",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,"KSh 15,599",0%,0,0
N/A,"KSh 90,499",0%,0,0
N/A,"KSh 6,299",0%,0,0
N/A,KSh 389,0%,0,0
N/A,KSh 750,0%,0,0
N/A,"KSh 1,899 - KSh 1,999",0%,0,0
N/A,KSh 215,0%,0,0
N/A,KSh 299,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,,0%,0,0
N/A,KSh 799,0%,0,0
N/A,"KSh 2,799",0%,0,0
N/A,"KSh 1,299",0%,0,0
N/A,"KSh 2,099",0%,0,0
N/A,"KSh 1,849",0%,0,0
N/A,"KSh 2,499",0%,0,0
N/A,"KSh 1,799",0%,0,0
N/A,"KSh 2,999",0%,0,0
N/A,"KSh 2,199",0%,0,0
N/A,"KSh 1,999",0%,0,0
N/A,"KSh 4,199",0%,0,0
N/A,"KSh 2,599",0%,0,0
N/A,"KSh 2,615",0%,0,0
N/A,"KSh 2,299",0%,0,0
N/A,"KSh 3,999",0%,0,0
N/A,"KSh 18,299",0%,0,0
N/A,"KSh 9,699",0%,0,0
N/A,"KSh 45,789",0%,0,0
N/A,"KSh 6,499",0%,0,0
N/A,"KSh 17,799",0%,0,0
N/A,"KSh 12,999",0%,0,0
N/A,"KSh 20,999",0%,0,0
N/A,"KSh 1,088",0%,0,0
N/A,KSh 546,0%,0,0
N/A,"KSh 16,000",0%,0,0
N/A,"KSh 11,999",0%,0,0
N/A,"KSh 11,795",0%,0,0
N/A,"KSh 2,599",0%,0,0
N/A,"KSh 15,599",0%,0,0
N/A,"KSh 2,500 - KSh 2,740",0%,0,0
N/A,"KSh 24,409",0%,0,0
N/A,"KSh 9,999",0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 24,499",0%,0,0
N/A,KSh 719,0%,0,0
N/A,"KSh 32,199",0%,0,0
N/A,"KSh 19,499",0%,0,0
N/A,"KSh 8,999",0%,0,0
N/A,"KSh 3,094",0%,0,0
N/A,KSh 813,0%,0,0
N/A,"KSh 1,700",0%,0,0
N/A,"KSh 1,388",0%,0,0
N/A,KSh 545,0%,0,0
N/A,"KSh 1,798",0%,0,0
N/A,KSh 968,0%,0,0
N/A,KSh 504,0%,0,0
N/A,"KSh 1,078",0%,0,0
N/A,KSh 415,0%,0,0
N/A,"KSh 2,498",0%,0,0
N/A,KSh 212,0%,0,0
N/A,"KSh 1,898",0%,0,0
N/A,KSh 338,0%,0,0
N/A,KSh 864,0%,0,0
N/A,"KSh 9,094",0%,0,0
N/A,KSh 699,0%,0,0
N/A,"KSh 11,999",0%,0,0
N/A,"KSh 11,999",0%,0,0
N/A,"KSh 8,999",0%,0,0
N/A,"KSh 11,799",0%,0,0
N/A,"KSh 11,795",0%,0,0
N/A,"KSh 5,939",0%,0,0
N/A,"KSh 10,699",0%,0,0
N/A,"KSh 31,799",0%,0,0
N/A,"KSh 18,899",0%,0,0
N/A,"KSh 9,699",0%,0,0
N/A,"KSh 24,499",0%,0,0
N/A,"KSh 18,299",0%,0,0
N/A,"KSh 9,599",0%,0,0
N/A,"KSh 5,199",0%,0,0
N/A,"KSh 6,499",0%,0,0
N/A,"KSh 45,789",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,"KSh 18,999",0%,0,0
N/A,"KSh 24,999",0%,0,0
N/A,KSh 849,0%,0,0
N/A,"KSh 1,815",0%,0,0
N/A,"KSh 5,999",0%,0,0
N/A,"KSh 17,999",0%,0,0
N/A,"KSh 20,999",0%,0,0
N/A,"KSh 6,369",0%,0,0
N/A,"KSh 32,999",0%,0,0
N/A,KSh 850,0%,0,0
N/A,"KSh 6,999",0%,0,0
N/A,"KSh 15,599",0%,0,0
N/A,"KSh 5,520",0%,0,0
N/A,"KSh 1,709",0%,0,0
N/A,KSh 399,0%,0,0
N/A,KSh 270,0%,0,0
N/A,"KSh 3,199",0%,0,0
N/A,KSh 999,0%,0,0
N/A,KSh 261,0%,0,0
N/A,KSh 798,0%,0,0
N/A,KSh 327,0%,0,0
N/A,KSh 479,0%,0,0
N/A,KSh 420,0%,0,0
N/A,KSh 900,0%,0,0
N/A,KSh 299,0%,0,0
N/A,"KSh 1,499",0%,0,0
